#OTU ID	S6262	S6263	S6264	S6265	S6266	S6267	S6268	S6269	S6270	S6271	S6272
Otu643	8	4	2	5	14	20	7	17	52	22	13
Otu209	12	7	8	13	29	22	23	34	65	33	16
Otu509	11	2	4	1	1	3	0	2	4	3	1
Otu288	7	3	2	7	7	7	3	14	22	22	12
Otu206	16	21	22	18	41	38	27	55	90	51	49
Otu272	11	7	5	7	15	25	10	22	27	18	15
Otu271	4	1	0	0	83	0	2	2	11	74	327
Otu503	10	0	1	2	0	0	1	0	0	0	0
Otu638	11	0	0	1	0	0	1	0	0	1	1
Otu259	15	7	5	10	38	27	8	28	51	27	24
Otu593	1	0	0	0	1	1	0	0	3	0	0
Otu192	16	12	8	10	21	28	21	55	27	86	26
Otu245	16	10	6	13	17	29	16	31	46	22	18
Otu175	21	13	8	37	55	56	18	20	69	30	18
Otu420	1	1	0	3	4	2	0	4	3	4	3
Otu668	3	0	0	0	0	0	0	0	0	0	0
Otu202	18	0	3	2	0	8	0	321	7	1	0
Otu317	5	0	1	0	0	41	0	1	16	1	15
Otu124	31	45	45	28	369	75	51	47	40	43	31
Otu58	2	3	1	4	306	4	4	2	3	1314	1851
Otu174	19	13	16	17	52	30	12	54	100	66	154
Otu176	4	0	2	3	76	3	1	13	69	228	16
Otu292	5	2	2	3	9	4	2	21	12	24	14
Otu393	11	1	2	6	0	6	0	3	31	0	24
Otu374	7	2	2	2	1	3	3	10	3	3	5
Otu421	1	0	0	0	4	1	2	1	6	6	3
Otu188	9	7	7	13	31	15	11	53	35	36	109
Otu254	6	9	5	15	20	15	8	21	26	36	21
Otu359	16	1	3	13	7	7	3	2	2	5	2
Otu262	8	3	2	14	14	24	14	25	37	19	23
Otu227	12	17	13	26	19	15	9	10	9	38	23
Otu454	2	11	5	2	0	0	5	1	0	0	0
Otu44	12	2	7	2	2	3766	938	6	15	6	4
Otu332	5	6	5	4	3	12	6	7	27	17	12
Otu508	10	0	0	1	0	0	0	0	1	0	0
Otu448	7	1	1	0	0	6	0	0	5	1	2
Otu282	31	0	9	12	1	26	0	3	12	1	14
Otu315	17	7	7	17	16	27	12	27	15	32	34
Otu320	2	0	0	0	1	27	4	0	29	8	14
Otu214	26	25	23	30	60	52	52	87	98	155	62
Otu187	13	38	17	127	24	16	7	19	13	13	24
Otu80	4	4	4	1	5	10	43	2022	25	7	2
Otu362	3	3	0	4	9	5	2	16	26	11	8
Otu388	14	3	0	1	1	13	5	1	11	1	4
Otu413	5	2	4	2	3	9	1	0	4	4	7
Otu230	7	6	8	10	20	19	12	42	40	21	27
Otu513	2	0	1	0	0	0	0	15	0	0	0
Otu529	1	1	0	1	1	0	1	0	3	0	2
Otu129	12	3	0	4	2	701	4	5	554	6	315
Otu490	2	0	0	1	0	0	0	7	1	0	0
Otu194	14	18	17	22	23	30	20	51	29	65	26
Otu261	42	3	15	6	1	67	1	6	48	3	31
Otu390	15	11	14	11	16	34	16	38	92	23	19
Otu250	8	9	3	17	20	19	11	36	23	18	20
Otu531	3	6	0	111	10	1	7	0	1	9	1
Otu511	4	0	0	0	1	0	0	3	1	0	0
Otu565	6	4	7	3	5	6	4	2	3	9	4
