	18.SPF.CD	11.CON.HFD	20.SPF.HFD	24.SPF.HFD	2.CON.HFD	23.SPF.HFD	17.SPF.CD	1.CON.CD	3.CON.CD	13.SPF.CD	21.SPF.HFD	14.SPF.CD	16.SPF.CD	10.CON.HFD	12.CON.CD	15.SPF.CD	22.SPF.HFD	9.CON.CD	5.CON.CD	6.CON.HFD	8.CON.HFD	19.SPF.HFD	7.CON.CD	4.CON.HFD
OTU_38	56.5319665230525	62.8020823383322	56.6292081779121	50.1017058850723	203.190005810575	40.4981466413525	18.2179810451265	243.536013058559	44.5402134825047	56.6059131582203	12.1314632821374	64.5275136848171	119.273627734214	4.65004022526146	50.1206454531745	56.9319551311764	3	19.0847722936947	87.8753325731661	209.020930232558	400.160763366696	83.088954056696	159.572911122938	338.892969056013
OTU_423	150.990442232457	0.690132772948706	104.388781340007	238.484120012944	0	101.245366603381	173.38492305017	0	0	139.429301884458	333.972048002371	0.693844233170076	248.983697895171	0	0	186.870770371744	174	0	0	0	0.749364725405798	634.799608993157	0	0
OTU_17	383.558658941217	551.416085586016	0	0	325.775711795468	0.653195913570202	248.141465959482	16.5109161395634	127.846909070152	260.387200527813	0	0	0	510.729418074551	119.853717388026	0	0	190.847722936947	143.346636259977	313.195348837209	262.277653892029	0	7.69026077700905	249.040344692519
OTU_26	236.861783786461	69.0132772948706	35.4785400632702	53.4418196107438	43.6606624055782	43.7641262092035	128.782279801756	146.239542950418	114.64980877904	174.5845532143	12.1314632821374	113.790454239892	41.000309533636	61.2255296326093	189.586789322877	119.222211921758	30	338.577997358509	188.382744203725	121.648837209302	86.9263081470725	18.2795698924731	264.673141742061	41.0350567959264
OTU_65	30.7705640568514	0	1.3645592332027	0	0	0.653195913570202	86.0642552821494	38.3289124668435	21.4452879730578	23.834068698198	12.1314632821374	31.2229904926534	27.5820264135369	0	0	69.6579215722629	67	0	81.8339034587609	0	0	17.4486803519062	19.2256519425226	0
OTU_47	147.412469667707	271.91231254179	109.847018272817	209.75914197217	167.925624636839	202.490733206762	109.936092513694	58.9675576412977	36.2920258005594	75.6731681167787	228.356955899057	65.2213579179871	197.546945934792	203.051756503084	40.67762529533	70.9974969871141	228	24.0326762216896	58.2174078297225	131.73023255814	270.520665871493	218.52394916911	79.4660280290935	195.97777124951
OTU_85	45.082454315852	44.8586302416659	32.0671419802635	54.7778651010124	39.7423978307186	37.8853629870717	34.5513433614468	40.0979391960824	22.2701067412524	15.4921446538287	42.1033137438886	22.2030154614424	45.473070573669	29.4502547599893	16.7068818177248	14.7353295633633	40	1.41368683656998	38.4454580007602	30.9162790697674	49.4580718767827	17.4486803519062	37.8104488202945	38.2050528789659
OTU_53	37.2109146734017	29.6757092367943	31.3848623636621	64.7982062780269	31.9058686809994	41.8045384684929	47.1154682201548	63.6849622526015	9.89782521833438	25.0257721331079	52.8075460516569	48.5690963219053	73.8005571605448	41.0753553231429	28.3290604735334	58.9413182534532	48	14.8437117839847	46.6837704294945	20.8348837209302	40.4656951719131	40.713587487781	33.3244633670392	26.8850372111242
OTU_7	765.686128856534	657.006399847168	430.518438075452	181.702186676529	799.885725353477	423.924147907061	284.577428049735	269.48173842073	809.97203036703	400.412354129727	147.004790360018	338.595985786997	274.329343788692	577.379994636632	753.988840295581	460.144155001391	432	1297.05767255295	566.795895096921	1122.39534883721	497.57817766945	366.422287390029	695.968600319319	620.478358793576
OTU_41	45.082454315852	54.5204890629478	23.1975069644459	186.378345892469	47.5789269804377	50.9492812584757	89.8334927397618	8.25545806978168	3.29927507277813	35.1552513298421	284.732579386636	87.4243733794296	165.492158481222	67.4255832662912	9.44302015784447	95.1098544544359	181	4.94790392799491	9.88597491448119	16.8023255813953	28.4758595654203	75.6109481915934	14.0988114245166	87.7301214257736
