	114t1	114t2	114t3	114t4	114t5	120t1	120t2	120t3	120t4	120t5	120t6	125t1	125t2	125t3	125t4	125t5	125t6	129t2	129t3	129t4	129t5	129t6	134t1	134t2	134t3	134t4	134t5	134t6	139t1	139t2	139t3	139t4	139t5	139t6	148t1	148t2	148t3	148t4	148t5	148t6	150t1	150t3	150t4	150t5	150t6	151t1	151t2	151t3	151t4	151t5	151t6	155t1	155t2	155t3	155t4	155t5	155t6	156t1	156t2	156t3	156t4	156t5	156t6	163t1	163t2	163t3	163t4	163t5	163t6	169t1	169t2	169t3	169t4	169t5	169t6	191t1	191t2	191t3	191t4	191t5	191t6
Zotu171	12	5	13	10	3	0	1	0	0	0	0	3	19	24	15	14	27	25	6	7	5	18	3	8	11	2	28	21	2	9	12	20	10	10	18	28	5	15	30	5	23	11	10	17	11	5	21	8	10	6	9	0	0	0	0	0	0	13	16	34	25	12	19	15	22	4	22	9	10	7	11	9	5	4	3	0	0	0	0	0	0
Zotu217	4	6	5	8	4	14	6	6	10	14	8	0	0	0	0	0	0	0	0	0	0	0	11	13	8	7	12	28	0	0	0	0	0	0	0	0	0	0	0	0	20	21	17	4	9	0	0	0	0	0	0	0	0	0	0	0	0	9	17	9	6	8	12	0	0	0	0	0	0	8	5	7	9	1	0	0	0	0	0	0	0
Zotu313	2	1	0	2	0	3	3	1	1	0	1	2	1	1	5	11	3	3	0	0	1	1	0	0	0	0	0	0	0	1	0	4	0	1	3	2	6	3	1	3	1	3	3	1	2	1	3	0	0	0	1	0	3	1	1	0	2	1	9	6	1	1	3	2	1	3	1	1	2	0	0	0	0	0	0	1	0	0	1	2	0
Zotu562	2	5	5	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	3	1
Zotu535	1	2	0	1	1	3	1	0	5	5	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	2	7	3	3	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0
Zotu556	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	2	1	5	0	0	2	0	2	1	2	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	2	1
Zotu26	1	0	0	0	0	116	145	96	127	99	41	0	0	1	0	0	0	0	0	0	0	0	417	77	581	1353	1424	941	22	24	3	1	6	3	929	636	168	1589	609	207	297	1132	586	729	962	0	0	0	0	0	0	331	409	281	159	0	2	0	0	0	0	0	0	15	152	399	49	336	473	51	68	317	549	0	10	391	555	511	334	418	193
Zotu246	0	1	0	3	0	3	0	3	1	2	1	4	0	2	9	9	2	2	2	2	10	3	1	3	0	2	1	1	0	1	1	3	3	3	1	1	3	6	1	0	6	2	4	2	11	0	4	2	2	7	3	0	1	0	0	0	1	1	0	0	1	1	2	4	0	1	6	8	12	0	2	1	1	0	0	4	4	4	0	0	2
Zotu339	0	2	0	0	2	0	0	0	0	0	0	0	1	2	0	3	1	1	1	1	1	0	2	0	0	1	0	4	0	1	0	0	0	0	1	4	3	2	1	2	3	4	1	2	2	9	11	2	11	4	7	3	1	0	0	0	1	1	0	1	1	3	1	0	2	1	2	1	2	0	2	0	0	0	0	1	5	3	1	2	3
Zotu428	1	0	1	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	1	1	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu342	1	0	0	3	1	0	0	0	0	3	0	3	0	6	6	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	6	11	12	4	6	9	0	2	2	1	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu443	3	3	0	1	0	1	0	2	0	1	1	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	2	1	2	0	0	1	0	0	0	2	1	2	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0
Zotu330	1	11	1	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	23	35	1	1	0	48	12	6	10	7	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu367	2	1	1	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19	2	0	1	9	15	0	1	1	1	0	0	0	0	0	0	0	0	1	1	13	2	17	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	1	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
Zotu446	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	4	1	2	4	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3
Zotu435	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu551	1	1	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu168	1	19	11	1	16	0	0	0	0	0	0	42	38	11	80	56	103	0	0	0	0	0	0	0	0	0	0	0	10	23	6	1	1	0	50	133	60	51	90	14	0	0	0	0	0	0	0	0	0	0	0	16	12	11	5	0	6	1	10	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu97	2	2	2	1	0	1	3	2	2	4	2	0	0	0	1	0	2	3	0	1	1	4	38	10	61	64	47	92	67	82	175	100	144	147	16	16	0	2	9	10	2	1	2	2	4	2	4	3	9	6	4	0	0	2	0	0	0	105	12	37	139	108	239	190	100	115	301	102	312	33	37	19	68	19	33	30	11	7	14	24	106
